[2023-12-20 17:11:33,314][INFO] 
===== CNN_small-0.1-100-small-2023-12-20-17-11-33 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: CNN_small
  no_repair: False
  repair_number: 100
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.1
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5cb598daf0>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 100
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5c6a96df70>
[2023-12-20 17:24:00,856][INFO] correct2 30
[2023-12-20 17:24:05,105][INFO] correct3 1
[2023-12-20 17:24:09,069][INFO] correct1 20
[2023-12-20 17:24:09,475][INFO] correct2 32
[2023-12-20 17:24:09,777][INFO] correct3 0
[2023-12-20 17:24:14,179][INFO] correct1 15
[2023-12-20 17:24:18,653][INFO] correct2 32
[2023-12-20 17:24:22,918][INFO] correct3 1
[2023-12-20 17:24:27,047][INFO] correct1 16
[2023-12-20 17:24:31,383][INFO] correct2 31
[2023-12-20 17:24:35,702][INFO] correct3 1
[2023-12-20 17:24:40,017][INFO] correct1 16
[2023-12-20 17:24:44,374][INFO] correct2 31
[2023-12-20 17:24:48,767][INFO] correct3 3
[2023-12-20 17:24:53,014][INFO] correct1 15
[2023-12-20 17:24:53,436][INFO] correct2 28
[2023-12-20 17:24:53,688][INFO] correct3 0
[2023-12-20 17:24:57,869][INFO] correct1 15
[2023-12-20 17:25:02,289][INFO] correct2 32
[2023-12-20 17:25:06,523][INFO] correct3 1
[2023-12-20 17:25:10,797][INFO] correct1 14
[2023-12-20 17:25:15,171][INFO] correct2 32
[2023-12-20 17:25:19,484][INFO] correct3 2
[2023-12-20 17:25:23,658][INFO] correct1 16
[2023-12-20 17:25:28,008][INFO] correct2 32
[2023-12-20 17:25:32,396][INFO] correct3 2
[2023-12-20 17:25:36,621][INFO] correct1 17
[2023-12-20 17:25:37,035][INFO] correct2 32
[2023-12-20 17:25:37,287][INFO] correct3 0
[2023-12-20 17:25:41,503][INFO] correct1 13
[2023-12-20 17:25:41,919][INFO] correct2 29
[2023-12-20 17:25:42,240][INFO] correct3 0
[2023-12-20 17:25:46,720][INFO] correct1 18
[2023-12-20 17:25:51,082][INFO] correct2 32
[2023-12-20 17:25:55,472][INFO] correct3 1
[2023-12-20 17:25:59,511][INFO] correct1 20
[2023-12-20 17:26:03,899][INFO] correct2 32
[2023-12-20 17:26:08,226][INFO] correct3 4
[2023-12-20 17:26:12,321][INFO] correct1 12
[2023-12-20 17:26:16,881][INFO] correct2 30
[2023-12-20 17:26:21,184][INFO] correct3 2
[2023-12-20 17:26:25,270][INFO] correct1 19
[2023-12-20 17:26:29,760][INFO] correct2 29
[2023-12-20 17:26:34,257][INFO] correct3 1
[2023-12-20 17:26:38,393][INFO] correct1 13
[2023-12-20 17:26:42,790][INFO] correct2 30
[2023-12-20 17:26:47,183][INFO] correct3 2
[2023-12-20 17:26:51,253][INFO] correct1 16
[2023-12-20 17:26:55,597][INFO] correct2 31
[2023-12-20 17:27:00,072][INFO] correct3 3
[2023-12-20 17:27:04,243][INFO] correct1 12
[2023-12-20 17:27:08,609][INFO] correct2 32
[2023-12-20 17:27:12,937][INFO] correct3 1
[2023-12-20 17:27:17,200][INFO] correct1 13
[2023-12-20 17:27:21,490][INFO] correct2 32
[2023-12-20 17:27:25,679][INFO] correct3 1
[2023-12-20 17:27:29,939][INFO] correct1 13
[2023-12-20 17:27:34,458][INFO] correct2 32
[2023-12-20 17:27:38,736][INFO] correct3 2
[2023-12-20 17:27:42,866][INFO] correct1 18
[2023-12-20 17:27:47,423][INFO] correct2 30
[2023-12-20 17:27:51,725][INFO] correct3 2
[2023-12-20 17:27:55,790][INFO] correct1 16
[2023-12-20 17:28:00,339][INFO] correct2 30
[2023-12-20 17:28:04,721][INFO] correct3 2
[2023-12-20 17:28:08,728][INFO] correct1 22
[2023-12-20 17:28:13,176][INFO] correct2 31
[2023-12-20 17:28:17,507][INFO] correct3 4
[2023-12-20 17:28:21,648][INFO] correct1 17
[2023-12-20 17:28:26,053][INFO] correct2 32
[2023-12-20 17:28:30,549][INFO] correct3 3
[2023-12-20 17:28:34,650][INFO] correct1 16
[2023-12-20 17:28:39,254][INFO] correct2 32
[2023-12-20 17:28:43,613][INFO] correct3 2
[2023-12-20 17:28:47,841][INFO] correct1 16
[2023-12-20 17:28:52,295][INFO] correct2 31
[2023-12-20 17:28:56,645][INFO] correct3 2
[2023-12-20 17:29:00,754][INFO] correct1 17
[2023-12-20 17:29:05,258][INFO] correct2 32
[2023-12-20 17:29:09,580][INFO] correct3 2
[2023-12-20 17:29:13,575][INFO] correct1 24
[2023-12-20 17:29:13,997][INFO] correct2 32
[2023-12-20 17:29:14,315][INFO] correct3 0
[2023-12-20 17:29:18,523][INFO] correct1 14
[2023-12-20 17:29:18,920][INFO] correct2 32
[2023-12-20 17:29:19,230][INFO] correct3 0
[2023-12-20 17:29:23,457][INFO] correct1 17
[2023-12-20 17:29:27,922][INFO] correct2 30
[2023-12-20 17:29:32,193][INFO] correct3 1
[2023-12-20 17:29:36,335][INFO] correct1 13
[2023-12-20 17:29:40,812][INFO] correct2 29
[2023-12-20 17:29:45,103][INFO] correct3 3
[2023-12-20 17:29:49,157][INFO] correct1 14
[2023-12-20 17:29:50,512][INFO] correct2 31
[2023-12-20 17:29:51,763][INFO] correct3 0
[2023-12-20 17:29:55,790][INFO] correct1 12
[2023-12-20 17:29:57,119][INFO] correct2 32
[2023-12-20 17:30:01,263][INFO] correct3 1
[2023-12-20 17:30:05,403][INFO] correct1 19
[2023-12-20 17:30:09,737][INFO] correct2 30
[2023-12-20 17:30:13,885][INFO] correct3 4
[2023-12-20 17:30:18,102][INFO] correct1 17
[2023-12-20 17:30:22,544][INFO] correct2 31
[2023-12-20 17:30:26,725][INFO] correct3 4
[2023-12-20 17:30:30,810][INFO] correct1 17
[2023-12-20 17:30:35,230][INFO] correct2 31
[2023-12-20 17:30:39,397][INFO] correct3 4
[2023-12-20 17:30:43,564][INFO] correct1 13
[2023-12-20 17:30:47,956][INFO] correct2 32
[2023-12-20 17:30:52,279][INFO] correct3 3
[2023-12-20 17:30:56,447][INFO] correct1 14
[2023-12-20 17:31:00,877][INFO] correct2 32
[2023-12-20 17:31:05,162][INFO] correct3 1
[2023-12-20 17:31:09,351][INFO] correct1 15
[2023-12-20 17:31:13,640][INFO] correct2 32
[2023-12-20 17:31:17,980][INFO] correct3 4
[2023-12-20 17:31:22,060][INFO] correct1 19
[2023-12-20 17:31:26,400][INFO] correct2 31
[2023-12-20 17:31:30,759][INFO] correct3 2
[2023-12-20 17:31:34,948][INFO] correct1 18
[2023-12-20 17:31:39,316][INFO] correct2 32
[2023-12-20 17:31:44,651][INFO] correct3 1
[2023-12-20 17:31:50,036][INFO] correct1 18
[2023-12-20 17:31:55,147][INFO] correct2 31
[2023-12-20 17:32:00,406][INFO] correct3 2
[2023-12-20 17:32:05,372][INFO] correct1 17
[2023-12-20 17:32:10,456][INFO] correct2 32
[2023-12-20 17:32:16,011][INFO] correct3 2
[2023-12-20 17:32:21,770][INFO] correct1 13
[2023-12-20 17:32:26,893][INFO] correct2 31
[2023-12-20 17:32:32,867][INFO] correct3 2
[2023-12-20 17:32:37,632][INFO] correct1 20
[2023-12-20 17:32:42,118][INFO] correct2 32
[2023-12-20 17:32:46,407][INFO] correct3 1
[2023-12-20 17:32:50,545][INFO] correct1 20
[2023-12-20 17:32:50,958][INFO] correct2 31
[2023-12-20 17:32:51,276][INFO] correct3 0
[2023-12-20 17:32:55,410][INFO] correct1 15
[2023-12-20 17:32:59,810][INFO] correct2 32
[2023-12-20 17:33:04,032][INFO] correct3 1
[2023-12-20 17:33:08,226][INFO] correct1 16
[2023-12-20 17:33:12,720][INFO] correct2 32
[2023-12-20 17:33:17,112][INFO] correct3 3
[2023-12-20 17:33:21,248][INFO] correct1 17
[2023-12-20 17:33:25,786][INFO] correct2 31
[2023-12-20 17:33:30,145][INFO] correct3 2
[2023-12-20 17:33:34,366][INFO] correct1 14
[2023-12-20 17:33:38,842][INFO] correct2 30
[2023-12-20 17:33:43,214][INFO] correct3 3
[2023-12-20 17:33:47,458][INFO] correct1 11
[2023-12-20 17:33:51,797][INFO] correct2 31
[2023-12-20 17:33:56,186][INFO] correct3 3
[2023-12-20 17:34:00,264][INFO] correct1 20
[2023-12-20 17:34:04,770][INFO] correct2 32
[2023-12-20 17:34:09,107][INFO] correct3 3
[2023-12-20 17:34:13,404][INFO] correct1 17
[2023-12-20 17:34:17,900][INFO] correct2 32
[2023-12-20 17:34:22,208][INFO] correct3 4
[2023-12-20 17:34:26,359][INFO] correct1 20
[2023-12-20 17:34:30,978][INFO] correct2 32
[2023-12-20 17:34:35,352][INFO] correct3 3
[2023-12-20 17:34:39,447][INFO] correct1 16
[2023-12-20 17:34:43,963][INFO] correct2 32
[2023-12-20 17:34:48,225][INFO] correct3 1
[2023-12-20 17:34:52,392][INFO] correct1 14
[2023-12-20 17:34:56,746][INFO] correct2 30
[2023-12-20 17:35:01,048][INFO] correct3 1
[2023-12-20 17:35:05,321][INFO] correct1 13
[2023-12-20 17:35:09,737][INFO] correct2 29
[2023-12-20 17:35:14,112][INFO] correct3 1
[2023-12-20 17:35:18,284][INFO] correct1 19
[2023-12-20 17:35:22,696][INFO] correct2 32
[2023-12-20 17:35:27,040][INFO] correct3 2
[2023-12-20 17:35:31,252][INFO] correct1 15
[2023-12-20 17:35:35,616][INFO] correct2 30
[2023-12-20 17:35:40,004][INFO] correct3 2
[2023-12-20 17:35:44,299][INFO] correct1 15
[2023-12-20 17:35:48,744][INFO] correct2 31
[2023-12-20 17:35:53,025][INFO] correct3 2
[2023-12-20 17:35:57,104][INFO] correct1 19
[2023-12-20 17:36:01,578][INFO] correct2 32
[2023-12-20 17:36:05,875][INFO] correct3 4
[2023-12-20 17:36:09,802][INFO] correct1 24
[2023-12-20 17:36:14,275][INFO] correct2 31
[2023-12-20 17:36:18,654][INFO] correct3 3
[2023-12-20 17:36:22,806][INFO] correct1 14
[2023-12-20 17:36:27,208][INFO] correct2 32
[2023-12-20 17:36:31,421][INFO] correct3 1
[2023-12-20 17:36:35,596][INFO] correct1 15
[2023-12-20 17:36:36,014][INFO] correct2 32
[2023-12-20 17:36:37,255][INFO] correct3 0
[2023-12-20 17:36:41,452][INFO] correct1 16
[2023-12-20 17:36:45,853][INFO] correct2 31
[2023-12-20 17:36:50,160][INFO] correct3 1
[2023-12-20 17:36:54,337][INFO] correct1 20
[2023-12-20 17:36:55,184][INFO] correct2 31
[2023-12-20 17:36:55,489][INFO] correct3 0
[2023-12-20 17:36:59,692][INFO] correct1 18
[2023-12-20 17:37:04,024][INFO] correct2 30
[2023-12-20 17:37:08,365][INFO] correct3 2
[2023-12-20 17:37:12,523][INFO] correct1 18
[2023-12-20 17:37:16,898][INFO] correct2 29
[2023-12-20 17:37:21,217][INFO] correct3 3
[2023-12-20 17:37:25,498][INFO] correct1 15
[2023-12-20 17:37:29,954][INFO] correct2 31
[2023-12-20 17:37:34,281][INFO] correct3 2
[2023-12-20 17:37:38,394][INFO] correct1 19
[2023-12-20 17:37:42,763][INFO] correct2 30
[2023-12-20 17:37:46,956][INFO] correct3 1
[2023-12-20 17:37:51,100][INFO] correct1 16
[2023-12-20 17:37:55,494][INFO] correct2 31
[2023-12-20 17:37:59,730][INFO] correct3 2
[2023-12-20 17:38:03,867][INFO] correct1 19
[2023-12-20 17:38:08,204][INFO] correct2 31
[2023-12-20 17:38:12,635][INFO] correct3 3
[2023-12-20 17:38:16,804][INFO] correct1 14
[2023-12-20 17:38:21,270][INFO] correct2 32
[2023-12-20 17:38:25,638][INFO] correct3 2
[2023-12-20 17:38:30,013][INFO] correct1 9
[2023-12-20 17:38:30,423][INFO] correct2 32
[2023-12-20 17:38:30,716][INFO] correct3 0
[2023-12-20 17:38:35,775][INFO] correct1 17
[2023-12-20 17:38:41,587][INFO] correct2 32
[2023-12-20 17:38:46,480][INFO] correct3 1
[2023-12-20 17:38:51,263][INFO] correct1 14
[2023-12-20 17:38:56,868][INFO] correct2 31
[2023-12-20 17:39:02,499][INFO] correct3 1
[2023-12-20 17:39:07,378][INFO] correct1 16
[2023-12-20 17:39:13,307][INFO] correct2 32
[2023-12-20 17:39:18,642][INFO] correct3 4
[2023-12-20 17:39:23,487][INFO] correct1 14
[2023-12-20 17:39:29,545][INFO] correct2 29
[2023-12-20 17:39:34,674][INFO] correct3 2
[2023-12-20 17:39:38,851][INFO] correct1 17
[2023-12-20 17:39:43,409][INFO] correct2 32
[2023-12-20 17:39:47,658][INFO] correct3 2
[2023-12-20 17:39:51,770][INFO] correct1 16
[2023-12-20 17:39:56,183][INFO] correct2 31
[2023-12-20 17:40:00,418][INFO] correct3 1
[2023-12-20 17:40:04,563][INFO] correct1 15
[2023-12-20 17:40:09,021][INFO] correct2 32
[2023-12-20 17:40:13,255][INFO] correct3 1
[2023-12-20 17:40:17,455][INFO] correct1 16
[2023-12-20 17:40:21,976][INFO] correct2 30
[2023-12-20 17:40:26,337][INFO] correct3 1
[2023-12-20 17:40:30,476][INFO] correct1 21
[2023-12-20 17:40:34,792][INFO] correct2 30
[2023-12-20 17:40:39,264][INFO] correct3 3
[2023-12-20 17:40:43,263][INFO] correct1 17
[2023-12-20 17:40:47,591][INFO] correct2 31
[2023-12-20 17:40:51,766][INFO] correct3 5
[2023-12-20 17:40:55,742][INFO] correct1 19
[2023-12-20 17:41:00,054][INFO] correct2 31
[2023-12-20 17:41:04,331][INFO] correct3 1
[2023-12-20 17:41:08,323][INFO] correct1 16
[2023-12-20 17:41:08,734][INFO] correct2 32
[2023-12-20 17:41:09,051][INFO] correct3 0
[2023-12-20 17:41:13,170][INFO] correct1 20
[2023-12-20 17:41:17,649][INFO] correct2 31
[2023-12-20 17:41:21,992][INFO] correct3 2
[2023-12-20 17:41:26,059][INFO] correct1 12
[2023-12-20 17:41:30,458][INFO] correct2 29
[2023-12-20 17:41:34,851][INFO] correct3 2
[2023-12-20 17:41:38,834][INFO] correct1 25
[2023-12-20 17:41:43,115][INFO] correct2 31
[2023-12-20 17:41:47,377][INFO] correct3 1
[2023-12-20 17:41:51,479][INFO] correct1 15
[2023-12-20 17:41:55,927][INFO] correct2 30
[2023-12-20 17:42:00,133][INFO] correct3 1
[2023-12-20 17:42:04,218][INFO] correct1 15
[2023-12-20 17:42:08,699][INFO] correct2 30
[2023-12-20 17:42:13,042][INFO] correct3 1
[2023-12-20 17:42:17,146][INFO] correct1 21
[2023-12-20 17:42:21,620][INFO] correct2 31
[2023-12-20 17:42:26,060][INFO] correct3 2
[2023-12-20 17:42:30,052][INFO] correct1 21
[2023-12-20 17:42:34,593][INFO] correct2 32
[2023-12-20 17:42:38,809][INFO] correct3 2
[2023-12-20 17:42:42,855][INFO] correct1 17
[2023-12-20 17:42:47,370][INFO] correct2 31
[2023-12-20 17:42:51,752][INFO] correct3 2
[2023-12-20 17:42:55,890][INFO] correct1 15
[2023-12-20 17:43:00,416][INFO] correct2 32
[2023-12-20 17:43:04,739][INFO] correct3 4
[2023-12-20 17:43:08,803][INFO] correct1 19
[2023-12-20 17:43:13,287][INFO] correct2 32
[2023-12-20 17:43:17,991][INFO] correct3 2
[2023-12-20 17:43:22,156][INFO] correct1 22
[2023-12-20 17:43:26,528][INFO] correct2 32
[2023-12-20 17:43:30,865][INFO] correct3 4
[2023-12-20 17:43:35,125][INFO] correct1 15
[2023-12-20 17:43:39,584][INFO] correct2 32
[2023-12-20 17:43:43,907][INFO] correct3 4
[2023-12-20 17:43:48,059][INFO] correct1 19
[2023-12-20 17:43:52,436][INFO] correct2 32
[2023-12-20 17:43:56,810][INFO] correct3 4
[2023-12-20 17:44:00,944][INFO] correct1 20
[2023-12-20 17:44:05,334][INFO] correct2 31
[2023-12-20 17:44:09,682][INFO] correct3 3
[2023-12-20 17:44:13,876][INFO] correct1 20
[2023-12-20 17:44:18,258][INFO] correct2 32
[2023-12-20 17:44:22,565][INFO] correct3 2
[2023-12-20 17:44:26,582][INFO] correct1 22
[2023-12-20 17:44:31,094][INFO] correct2 32
[2023-12-20 17:44:35,321][INFO] correct3 3
[2023-12-20 17:44:39,367][INFO] correct1 20
[2023-12-20 17:44:43,836][INFO] correct2 30
[2023-12-20 17:44:48,076][INFO] correct3 1
[2023-12-20 17:44:52,031][INFO] correct1 24
[2023-12-20 17:44:56,407][INFO] correct2 32
[2023-12-20 17:45:00,704][INFO] correct3 5
[2023-12-20 17:45:04,707][INFO] correct1 23
[2023-12-20 17:45:09,075][INFO] correct2 32
[2023-12-20 17:45:13,415][INFO] correct3 6
[2023-12-20 17:45:17,422][INFO] correct1 25
[2023-12-20 17:45:21,982][INFO] correct2 31
[2023-12-20 17:45:26,314][INFO] correct3 2
[2023-12-20 17:45:30,472][INFO] correct1 26
[2023-12-20 17:45:35,822][INFO] correct2 32
[2023-12-20 17:45:41,579][INFO] correct3 4
[2023-12-20 17:45:46,548][INFO] correct1 23
[2023-12-20 17:45:52,188][INFO] correct2 32
[2023-12-20 17:45:57,898][INFO] correct3 4
[2023-12-20 17:46:02,554][INFO] correct1 19
[2023-12-20 17:46:07,700][INFO] correct2 32
[2023-12-20 17:46:12,015][INFO] correct3 5
[2023-12-20 17:46:16,074][INFO] correct1 23
[2023-12-20 17:46:20,559][INFO] correct2 32
[2023-12-20 17:46:24,817][INFO] correct3 5
[2023-12-20 17:46:28,815][INFO] correct1 27
[2023-12-20 17:46:33,092][INFO] correct2 32
[2023-12-20 17:46:37,335][INFO] correct3 9
[2023-12-20 17:46:41,386][INFO] correct1 22
[2023-12-20 17:46:45,828][INFO] correct2 32
[2023-12-20 17:46:50,270][INFO] correct3 3
[2023-12-20 17:46:54,338][INFO] correct1 16
[2023-12-20 17:46:58,732][INFO] correct2 32
[2023-12-20 17:47:03,140][INFO] correct3 2
[2023-12-20 17:47:07,190][INFO] correct1 23
[2023-12-20 17:47:11,637][INFO] correct2 32
[2023-12-20 17:47:16,056][INFO] correct3 5
[2023-12-20 17:47:20,063][INFO] correct1 16
[2023-12-20 17:47:24,349][INFO] correct2 31
[2023-12-20 17:47:28,728][INFO] correct3 5
[2023-12-20 17:47:32,740][INFO] correct1 16
[2023-12-20 17:47:37,218][INFO] correct2 32
[2023-12-20 17:47:41,549][INFO] correct3 3
[2023-12-20 17:47:45,687][INFO] correct1 18
[2023-12-20 17:47:50,032][INFO] correct2 31
[2023-12-20 17:47:54,212][INFO] correct3 6
[2023-12-20 17:47:58,367][INFO] correct1 19
[2023-12-20 17:48:02,749][INFO] correct2 32
[2023-12-20 17:48:07,059][INFO] correct3 2
[2023-12-20 17:48:11,139][INFO] correct1 19
[2023-12-20 17:48:15,625][INFO] correct2 31
[2023-12-20 17:48:19,943][INFO] correct3 3
[2023-12-20 17:48:23,956][INFO] correct1 24
[2023-12-20 17:48:28,354][INFO] correct2 32
[2023-12-20 17:48:32,536][INFO] correct3 4
[2023-12-20 17:48:36,539][INFO] correct1 25
[2023-12-20 17:48:40,972][INFO] correct2 32
[2023-12-20 17:48:45,242][INFO] correct3 2
[2023-12-20 17:48:49,281][INFO] correct1 20
[2023-12-20 17:48:53,688][INFO] correct2 31
[2023-12-20 17:48:57,826][INFO] correct3 4
[2023-12-20 17:49:01,918][INFO] correct1 16
[2023-12-20 17:49:06,450][INFO] correct2 31
[2023-12-20 17:49:10,760][INFO] correct3 3
[2023-12-20 17:49:14,918][INFO] correct1 18
[2023-12-20 17:49:19,288][INFO] correct2 31
[2023-12-20 17:49:23,666][INFO] correct3 1
[2023-12-20 17:49:27,683][INFO] correct1 16
[2023-12-20 17:49:32,259][INFO] correct2 31
[2023-12-20 17:49:36,614][INFO] correct3 2
[2023-12-20 17:49:40,854][INFO] correct1 18
[2023-12-20 17:49:45,141][INFO] correct2 31
[2023-12-20 17:49:49,381][INFO] correct3 1
[2023-12-20 17:49:53,513][INFO] correct1 13
[2023-12-20 17:49:57,947][INFO] correct2 29
[2023-12-20 17:50:02,333][INFO] correct3 2
[2023-12-20 17:50:06,689][INFO] correct1 10
[2023-12-20 17:50:07,103][INFO] correct2 31
[2023-12-20 17:50:07,414][INFO] correct3 0
[2023-12-20 17:50:11,539][INFO] correct1 16
[2023-12-20 17:50:15,906][INFO] correct2 32
[2023-12-20 17:50:20,080][INFO] correct3 7
[2023-12-20 17:50:24,236][INFO] correct1 25
[2023-12-20 17:50:28,697][INFO] correct2 32
[2023-12-20 17:50:32,923][INFO] correct3 5
[2023-12-20 17:50:36,990][INFO] correct1 24
[2023-12-20 17:50:41,343][INFO] correct2 32
[2023-12-20 17:50:45,437][INFO] correct3 13
[2023-12-20 17:50:49,614][INFO] correct1 20
[2023-12-20 17:50:54,029][INFO] correct2 32
[2023-12-20 17:50:58,338][INFO] correct3 4
[2023-12-20 17:51:02,443][INFO] correct1 29
[2023-12-20 17:51:06,857][INFO] correct2 32
[2023-12-20 17:51:11,009][INFO] correct3 5
[2023-12-20 17:51:15,007][INFO] correct1 25
[2023-12-20 17:51:19,501][INFO] correct2 32
[2023-12-20 17:51:23,784][INFO] correct3 3
[2023-12-20 17:51:27,855][INFO] correct1 23
[2023-12-20 17:51:32,384][INFO] correct2 32
[2023-12-20 17:51:36,747][INFO] correct3 5
[2023-12-20 17:51:40,753][INFO] correct1 25
[2023-12-20 17:51:45,167][INFO] correct2 32
[2023-12-20 17:51:49,374][INFO] correct3 6
[2023-12-20 17:51:53,419][INFO] correct1 26
[2023-12-20 17:51:57,731][INFO] correct2 32
[2023-12-20 17:52:01,993][INFO] correct3 8
[2023-12-20 17:52:06,967][INFO] correct1 24
[2023-12-20 17:52:12,312][INFO] correct2 32
[2023-12-20 17:52:17,960][INFO] correct3 6
[2023-12-20 17:52:23,192][INFO] correct1 21
[2023-12-20 17:52:28,237][INFO] correct2 32
[2023-12-20 17:52:33,977][INFO] correct3 6
[2023-12-20 17:52:38,821][INFO] correct1 18
[2023-12-20 17:52:43,136][INFO] correct2 32
[2023-12-20 17:52:47,456][INFO] correct3 8
[2023-12-20 17:52:52,208][INFO] correct1 24
[2023-12-20 17:52:57,514][INFO] correct2 32
[2023-12-20 17:53:02,734][INFO] correct3 3
[2023-12-20 17:53:07,548][INFO] correct1 26
[2023-12-20 17:53:12,617][INFO] correct2 32
[2023-12-20 17:53:17,630][INFO] correct3 5
[2023-12-20 17:53:22,422][INFO] correct1 23
[2023-12-20 17:53:27,527][INFO] correct2 32
[2023-12-20 17:53:32,474][INFO] correct3 6
[2023-12-20 17:53:37,345][INFO] correct1 19
[2023-12-20 17:53:37,833][INFO] correct2 30
[2023-12-20 17:53:38,204][INFO] correct3 0
[2023-12-20 17:53:43,068][INFO] correct1 14
[2023-12-20 17:53:48,361][INFO] correct2 30
[2023-12-20 17:53:53,485][INFO] correct3 1
[2023-12-20 17:53:58,433][INFO] correct1 10
[2023-12-20 17:54:03,505][INFO] correct2 30
[2023-12-20 17:54:08,441][INFO] correct3 1
[2023-12-20 17:54:13,421][INFO] correct1 17
[2023-12-20 17:54:18,664][INFO] correct2 30
[2023-12-20 17:54:23,836][INFO] correct3 1
[2023-12-20 17:54:28,822][INFO] correct1 19
[2023-12-20 17:54:34,097][INFO] correct2 31
[2023-12-20 17:54:39,179][INFO] correct3 1
[2023-12-20 17:54:44,155][INFO] correct1 19
[2023-12-20 17:54:49,441][INFO] correct2 32
[2023-12-20 17:54:54,642][INFO] correct3 2
[2023-12-20 17:54:59,546][INFO] correct1 16
[2023-12-20 17:55:04,772][INFO] correct2 32
[2023-12-20 17:55:09,908][INFO] correct3 2
[2023-12-20 17:55:14,876][INFO] correct1 17
[2023-12-20 17:55:20,203][INFO] correct2 30
[2023-12-20 17:55:25,405][INFO] correct3 3
[2023-12-20 17:55:30,333][INFO] correct1 19
[2023-12-20 17:55:35,058][INFO] correct2 32
[2023-12-20 17:55:39,335][INFO] correct3 5
[2023-12-20 17:55:43,443][INFO] correct1 25
[2023-12-20 17:55:47,980][INFO] correct2 32
[2023-12-20 17:55:52,444][INFO] correct3 4
[2023-12-20 17:55:56,589][INFO] correct1 23
[2023-12-20 17:56:01,126][INFO] correct2 32
[2023-12-20 17:56:05,551][INFO] correct3 2
[2023-12-20 17:56:09,865][INFO] correct1 20
[2023-12-20 17:56:14,368][INFO] correct2 32
[2023-12-20 17:56:18,742][INFO] correct3 3
[2023-12-20 17:56:22,813][INFO] correct1 24
[2023-12-20 17:56:27,213][INFO] correct2 32
[2023-12-20 17:56:31,539][INFO] correct3 4
[2023-12-20 17:56:35,647][INFO] correct1 26
[2023-12-20 17:56:40,081][INFO] correct2 32
[2023-12-20 17:56:44,415][INFO] correct3 3
[2023-12-20 17:56:48,540][INFO] correct1 23
[2023-12-20 17:56:52,891][INFO] correct2 32
[2023-12-20 17:56:57,208][INFO] correct3 5
[2023-12-20 17:57:01,398][INFO] correct1 21
[2023-12-20 17:57:05,762][INFO] correct2 32
[2023-12-20 17:57:10,065][INFO] correct3 5
[2023-12-20 17:57:14,188][INFO] correct1 23
[2023-12-20 17:57:18,662][INFO] correct2 32
[2023-12-20 17:57:22,993][INFO] correct3 4
[2023-12-20 17:57:27,156][INFO] correct1 19
[2023-12-20 17:57:31,635][INFO] correct2 32
[2023-12-20 17:57:35,969][INFO] correct3 4
[2023-12-20 17:57:40,102][INFO] correct1 20
[2023-12-20 17:57:44,448][INFO] correct2 32
[2023-12-20 17:57:48,717][INFO] correct3 6
[2023-12-20 17:57:52,806][INFO] correct1 25
[2023-12-20 17:57:57,166][INFO] correct2 32
[2023-12-20 17:58:01,439][INFO] correct3 6
[2023-12-20 17:58:05,559][INFO] correct1 20
[2023-12-20 17:58:10,057][INFO] correct2 32
[2023-12-20 17:58:14,407][INFO] correct3 1
[2023-12-20 17:58:18,594][INFO] correct1 19
[2023-12-20 17:58:23,219][INFO] correct2 32
[2023-12-20 17:58:27,696][INFO] correct3 2
[2023-12-20 17:58:31,879][INFO] correct1 17
[2023-12-20 17:58:32,283][INFO] correct2 32
[2023-12-20 17:58:33,117][INFO] correct3 0
[2023-12-20 17:58:37,275][INFO] correct1 22
[2023-12-20 17:58:41,801][INFO] correct2 32
[2023-12-20 17:58:46,173][INFO] correct3 2
[2023-12-20 17:58:50,118][INFO] correct1 25
[2023-12-20 17:58:54,423][INFO] correct2 32
[2023-12-20 17:58:58,636][INFO] correct3 8
[2023-12-20 17:59:02,793][INFO] correct1 24
[2023-12-20 17:59:07,250][INFO] correct2 32
[2023-12-20 17:59:11,947][INFO] correct3 4
[2023-12-20 17:59:17,373][INFO] correct1 23
[2023-12-20 17:59:22,848][INFO] correct2 32
[2023-12-20 17:59:28,429][INFO] correct3 2
[2023-12-20 17:59:34,105][INFO] correct1 16
[2023-12-20 17:59:39,353][INFO] correct2 32
[2023-12-20 17:59:44,815][INFO] correct3 1
[2023-12-20 17:59:50,324][INFO] correct1 16
[2023-12-20 17:59:50,709][INFO] correct2 32
[2023-12-20 17:59:51,007][INFO] correct3 0
[2023-12-20 17:59:55,789][INFO] correct1 19
[2023-12-20 17:59:57,520][INFO] correct2 32
[2023-12-20 17:59:58,801][INFO] correct3 0
[2023-12-20 18:00:03,772][INFO] correct1 22
[2023-12-20 18:00:09,411][INFO] correct2 32
[2023-12-20 18:00:14,787][INFO] correct3 1
